city_id,label,x,y,is_hub
Абакан,Абакан,900.0,150.0,1
Армавир,Армавир,-1650.0,1087.5,1
Астрахань,Астрахань,-900.0,1350.0,1
Барнаул,Барнаул,450.0,150.0,1
Белгород,Белгород,-1800.0,450.0,1
Бийск,Бийск,525.0,225.0,1
Биробиджан,Биробиджан,1650.0,150.0,1
Благовещенск,Благовещенск,1500.0,150.0,1
Будённовск,Будённовск,-1050.0,1350.0,1
Великий Новгород,Великий Новгород,-1725.0,-150.0,1
Владивосток,Владивосток,1800.0,900.0,1
Владикавказ,Владикавказ,-1200.0,1600.0,1
Владимир,Владимир,-1350.0,0.0,1
Волгоград,Волгоград,-1200.0,600.0,1
Вологда,Вологда,-1500.0,-300.0,1
Воронеж,Воронеж,-1650.0,450.0,1
Горно-Алтайск,Горно-Алтайск,600.0,300.0,1
Грозный,Грозный,-1050.0,1600.0,1
Екатеринбург,Екатеринбург,-300.0,-150.0,1
Ижевск,Ижевск,-600.0,-150.0,1
Иркутск,Иркутск,1050.0,0.0,1
Йошкар-Ола,Йошкар-Ола,-900.0,-150.0,1
Казань,Казань,-750.0,0.0,1
Кемерово,Кемерово,600.0,0.0,1
Керчь,Керчь,-1950.0,975.0,1
Киров,Киров,-1350.0,-300.0,1
Краснодар,Краснодар,-1800.0,975.0,1
Красноярск,Красноярск,900.0,0.0,1
Кропоткин,Кропоткин,-1650.0,962.5,1
Курган,Курган,0.0,150.0,1
Кызыл,Кызыл,900.0,300.0,1
Магадан,Магадан,2250.0,-300.0,1
Мариуполь,Мариуполь,-1800.0,600.0,1
Махачкала,Махачкала,-900.0,1750.0,1
Медвежьегорск,Медвежьегорск,-1650.0,-450.0,1
Мелитополь,Мелитополь,-1950.0,600.0,1
Минеральные Воды,Минеральные Воды,-1500.0,1300.0,1
Москва,Москва,-1650.0,0.0,1
Мурманск,Мурманск,-1650.0,-600.0,1
Набережные Челны,Набережные Челны,-600.0,0.0,1
Нальчик,Нальчик,-1350.0,1450.0,1
Невинномысск,Невинномысск,-1650.0,1150.0,1
Нижневартовск,Нижневартовск,300.0,-450.0,1
Нижний Новгород,Нижний Новгород,-1200.0,0.0,1
Новокузнецк,Новокузнецк,600.0,150.0,1
Новосибирск,Новосибирск,450.0,0.0,1
Новый Уренгой,Новый Уренгой,0.0,-600.0,1
Омск,Омск,150.0,0.0,1
Оренбург,Оренбург,-600.0,450.0,1
Орск,Орск,-450.0,450.0,1
Павловская,Павловская,-1650.0,750.0,1
Пенза,Пенза,-1050.0,300.0,1
Пермь,Пермь,-600.0,-300.0,1
Петрозаводск,Петрозаводск,-1800.0,-300.0,1
Пятигорск,Пятигорск,-1350.0,1300.0,1
Ростов-на-Дону,Ростов-на-Дону,-1650.0,600.0,1
Рязань,Рязань,-1350.0,150.0,1
Санкт-Петербург,Санкт-Петербург,-1800.0,-150.0,1
Саратов,Саратов,-1050.0,450.0,1
Свободный,Свободный,1575.0,0.0,1
Севастополь,Севастополь,-2250.0,975.0,1
Симферополь,Симферополь,-2100.0,975.0,1
Сковородино,Сковородино,1500.0,0.0,1
Сургут,Сургут,0.0,-450.0,1
Сыктывкар,Сыктывкар,-1200.0,-450.0,1
Тамбов,Тамбов,-1350.0,300.0,1
Тверь,Тверь,-1650.0,-75.0,1
Тольятти,Тольятти,-750.0,300.0,1
Томск,Томск,600.0,-150.0,1
Тюмень,Тюмень,0.0,-150.0,1
Улан-Удэ,Улан-Удэ,1200.0,0.0,1
Уссурийск,Уссурийск,1800.0,600.0,1
Уфа,Уфа,-600.0,150.0,1
Хабаровск,Хабаровск,1800.0,300.0,1
Ханты-Мансийск,Ханты-Мансийск,-300.0,-450.0,1
Чебоксары,Чебоксары,-900.0,0.0,1
Челябинск,Челябинск,-300.0,150.0,1
Чита,Чита,1350.0,0.0,1
Элиста,Элиста,-1200.0,1150.0,1
Якутск,Якутск,1500.0,-450.0,1
Ярославль,Ярославль,-1500.0,-150.0,1
Ульяновск,Ульяновск,-712.5,150.0,1
Калининград,Калининград,-2000.0,-150.0,1
Боготол,Боготол,675.0,0.0,1
Геленджик,Геленджик,-1875.0,1125.0,1
Елец,Елец,-1650.0,300.0,1
Ишим,Ишим,75.0,-75.0,1
Каменск-Шахтинский,Каменск-Шахтинский,-1650.0,525.0,1
Курск,Курск,-1800.0,350.0,1
Магнитогорск,Магнитогорск,-450.0,300.0,1
Минск,Минск,-1950.0,0.0,1
Нефтеюганск,Нефтеюганск,0.0,-375.0,1
Нижний Тагил,Нижний Тагил,-300.0,-300.0,1
Новороссийск,Новороссийск,-1950.0,1050.0,1
Орёл,Орёл,-1800.0,280.0,1
Серпухов,Серпухов,-1800.0,150.0,1
Смоленск,Смоленск,-1800.0,0.0,1
Сочи,Сочи,-1800.0,1425.0,1
Тобольск,Тобольск,0.0,-250.0,1
Тула,Тула,-1800.0,250.0,1
Тулун,Тулун,975.0,0.0,1
Туапсе,Туапсе,-1800.0,1200.0,1
Усть-Луга,Усть-Луга,-1875.0,-150.0,1
